Nama Perusahaan,Alamat,Kawasan/Kecamatan
PT. UNION ELECTRINDO,"PERDANA, Jl Industri Selatan TOB HH No., 1 Kawasan Industri Jababeka II, Cikarang, Bekasi, Jawa Barat, 100, -, 814, PT. USAHA ABADI, Kawasan Industri Jababeka, Jl., Halmahera Blok DD-8,, Cikarang Barat Bekasi 17550, 200, 1, 815, PT. BIGINDO INTI MANDIRI, Jl. Raya Serang Km. 13,8, RT.012/RW.005, Desa Belitung, Jaya, Kec. Cikupa, Kabupaten, tangerang, 100, -",Jababeka
PT. DOO WON PRECISION,"INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka IV, SFB Blok C2E,, Desa Pasir Gombong, Kec., Cikarang, Bekasi 17530, 200, 1, 817, PT. HOSUNI INDAH, JL. WARUNG ASEM SUMBER, JAWA TAMBUN001/01, 300, 2, 818, PT. LG ELECTRONICS",Jababeka
PT. DAE IN TECH,"INDONESIA, Kawasan Industri MM 2100, Blok NN-6, Desa Jatiwangi,, Cikarang Barat, 400, 3, 820, PT. SUN JOO ENTERPRISE, INDONESIA, Kawasan Industri Jababeka, Jl, Jababeka III D Blok C-19, G/M,Kel. Pasir Gembong,~, Kec. Cikarang Utara, 300, 6, 821",Jababeka
PT. TAE HANG INDONESIA,"Bekasi International Industrial, Estate. Jl. Inti Raya I Blok C1, No. 9-11. Desa Cibatu,, Kecamatan Cikarang Selatan, 200, -, 822, PT. LG ELECTRONICS, DISPLAY DEVICES, INDONESIA, Kawasan Industri MM 2100, Blok G Cibitung, BEKASI 17520, 100, -, 823, PT. GULLIVER TOURS &, TRAVEL, Rukan Kemang Pratama Blok, AN No. 6, Kel. Bojong, Rawalumbu, Kec. Rawalumbu,, , , 824, PT. KYUNGSHIN NDONESIA, HYUNDAY IND. EST B1.C5, CIKARANG, BEKASI -, , , 825, PT. SC INDONESIA, Kp. Tenjo Ayu RT.03/01, Desa, Tenjo Ayu, Kec. Cicurug, 100, 5, 826",MM2100
PT. TROS GARMENT,"Jl. Raya Serang- Cibarusah,, Desa Sukaresi, Cikarang, Selatan Bekasi, , , 827, PT. SUNG TECHNOLOGY, Jl. Akasia Raya No. 49A, Kawasan Industri Delta Silicon,, 100, 2, 828, PT. HANKOOK CASTING, INDONESIA, 114 BL6 LOT NAM-DONG, INDUSTRIAL ESTATE 684-5, NAMDONG-KU -, 100, 3, 829, PT. INTERTEX INDONESIA, INTERNATIONAL, Jl. Cempaka Putih Tengah II/1, Blok B 5 - 12Jakarta 10510<br>, 200, 1, 830",Delta Silicon
PT. WORLD CUP INDONESIA,"Cikarang Industrial Estate Jl., Jababeka Blok C No. 16R, 300, 3, 831, PT. EPS INDONESIA, Jl. Industri RT. 03 RT.03, Karang Baru, Cikarang, Bekasi, 150, 2, 832, PT. INTERNATIONAL, MACHINERY, Jl. Raya Bantar Gebang,, Pangkalan 2, RT. 03/RW.02,, Desa Cikiwul, Bantar Gebang, 200, 2, 833",Jababeka
PT. WOO IN,"Kawasan Industri MM2100,, Blok MM3-1, Cikarang Barat, 100, 2, 834, PT. ELGI SYSTEM, INDUSTRY, JL. RAYA CIBITUNG IMAM, BONJOL NO. 19, 100, 1, 835, PT. HIJAU ELEKTRONIKA, INDONESIA, Jln. Sulawesi II Blok I/2-4,, kawasan Industri MM2100,, Cikarang Barat, 200, -",MM2100
PT. WHITE ROSE PAPAN,"INDAH, Jl. Perjuangan No. 10, Kp., Jarakosta Rt. 007 Rw. 03 Ds., Sukadanau, Cibitung, Bekasi, 100, -, , , R A H A S I A, , , R A H A S I A, 186, , 1, 2, 3, 4, 5, 837, PT. MIRAE INTERNATIONAL, Jl. Jababeka III H Blok C 17 A,, Kawasan Industri Jababeka, Pasir Gombong, Cikarang, Utara, Bekasi 17550, 200, 2, 838, PT. KOREA ORIENT, TECHNOLOGY INDONESIA, Kawasan Industri Jababeka,~, Jl. Jababeka IV C Blok T 11,, Cikarang,, 300, 5",Jababeka
PT. HANESIA MANDIRI,"PERKASA, Jl. Pangkalan VI,, RT.001/RW.002, Desa Ciketing, Udik,Kec. Bantar Gebang, Kota, Bekasi, 100, -",Bekasi
PT. HANESIA MANDIRI,"PERKASA, Jl. Pangkalan VI,, RT.001/RW.002, Desa Ciketing, Udik,Kec. Bantar Gebang, Kota, Bekasi, 100, 1",Bekasi
PT. TAE WON INDONESIA,"Kawasan Industri Jababeka II, Cikarang, Jl. Raya Industri, Selatan I Blok LL-6, Bekasi, 100, 1, 842, PT. HYSONIC INDONESIA, Kawasan Industri Jababeka, Jl., Industri Selatan I TOB 001-B,, Cikarang, 100, 1, 843, PT. WHAIN, Bekasi International Industrial, Estate Jl. Inti III ~Blok C 6 No., 10, Lemahabang, Desa, Sukaresmi, ~Kec. Cikarang, Selatan ~17550, 50",Jababeka
PT. YONG SHIN INDONESIA,"Kawasan Industri Jababeka,, Jln. Jababeka XVII B Blok U, 18A, Desa Karang Baru,, Cikarang Utara, 100, -, 845, PT. DONGYANG, ELECTRONICS INDONESIA, Jl. Sulawesi II Blok I/2-3, Kawasan Industri MM 2100,, Cibitung Bekasi, 100, -",Jababeka
PT. DAE YOUNG APEX,"INDONESIA, Cikarang Industrial Estate, Jl., Jababeka IX A blok P 6 D,, Lemah Abang,Bekasi, 400, 2, 847, PT. STAR KOREA INDUSTRY, Kawasan Industri MM2100, Jl., Flores II Blok C2 No. 7-8,, Cikarang~, 100, 1, 848, PT. LP DISPLAYS",Jababeka
PT. TAECHANG INDONESIA,"Desa Cukanggalih RT. 04/RW., 02, Kecamatan Cicurug,, 200, -, 850",Lainnya
PT. SAMSUNG,"ELECTRONICS INDONESIA, Kawasan Jababeka Cikarang,, Jl. Jababeka Raya Blok F 29 -, 33, Desa Harjamekar, Kec., Cikarang Utara, 100, 2, 851, PT. DADA TOOLS, INDONESIA, Jl. MH Thamrin Ruko Roxy Blok, B-30, Lippo Cikarang, Desa., Cibatu, Kec. Cikarang Selatan, 100, 4, 852, PT. I-DECK INDONESIA, Kawasan Industri Jababeka Jl., Jababeka IX A Blok P6A,, Cikarang, 100, 2, 853, PT. RLC INDONESIA, Jl. Jababeka XVIIB, Blok U20,, Kawasan Industri Jababeka,, Cikarang Utara, Bekasi 17530, 200, 1, , , R A H A S I A, , , R A H A S I A, 187, , 1, 2, 3, 4, 5, 854, PT. DAWEE PRINTING, INDONESIA, Kawasan Industri Jababeka, Cikarang, Jl. Jababeka IV Blok, C2F,, 100, -, 855, PT. LG INNOTEX INDONESIA, Bekasi International Industrial, Estate, Blok C 8 No. 12 - 12 A,, Lemahabang,, 100, 3, 856, PT. ALIMINDO SEJATI, Kawasan Industri Jababeka II, Jl. Industri Selatan Blok HH, No.10, Cikarang,, 100, -, 857, PT. KHARISMA IDE, NUSANTARA GARMINDO, Kawasan Batik Mekar Wangi, Kav. 19, Kp. Rawa Banteng RT, 004/01, Desa Mekarwangi,, , , 858, PT. A &amp; P INDUSTRY",Jababeka
PT. ILJO INDONESIA,"Kawasan Industri Bekasi, International Industrial Estate, (BIIE) Hyundai Industrial, Jl. Inti, Raya III Blok C6 No.8, Lemahabang, Bekasi 17550, , 100, , 5, 861, PT. MTEK INTERNATIONAL, INDONESIA, Kawasan Industri Jababeka II, Jl. Industri Selatan 1A Blok NN, 3C,, Pasir, Sari,, Cikarang, Selatan, Bekasi 17550, , , 862, PT. SIN SUNG INDONESIA, Kawasan Industri Jababeka,~Jl., Jababeka II H Blok CC No., 18,~Harjamekar,, Cikarang, Utara",Jababeka
PT.,"DAI, DONG, ELECTRONICS INDONESIA, Bekasi International Industrial, Estate Blok C4 No. 5,6,7, Lemah Abang, , , 864, PT. BS INDONESIA, Jl. Jababeka X Blok F7 No., 26,~Kawasan, Industri, Jababeka,~Desa, Harjamekar,, Kec. Cikarang Utara",Jababeka
PT. JAVA PRIMA GLOBAL,"Jl. Niaga Utara Blok CCBD,, Residential Suite Kav. 1-2,, Jababeka, Cikarang, Bekasi, 17550, , , 866, PT., SAMSUNG, ELECTRONICS INDONESIA, Kawasan, Industri, Jababeka, Cikarang, Jl. Jababeka Raya, Blok, F, 29, -, 33,, Desa, Harjamekar,, Kec., Cikarang, Utara, 100, 2, 867, PT. SANKEN INDONESIA, Kawasan Industri MM2100 Blok, GG-8, Cikarang Barat,Bekasi, 100, 3, 868, PT. BYUNGHWA INDONESIA, Kawasan Industri Jababeka I Jl., Jababeka VI Blok J No. 4 A,, Cikarang, 200, 1, 869, PT. SAM PUTRA INTI, Jl. Pangkalan II, Kampung, Cikiwul, RT.003/RW.03, Bantar, Gebang Bekasi 17310, 300, 3, 870",Jababeka
PT.,"BETSO, TECH, INDONESIA, Kawasan Industri Jababeka 2,, Jl. Industri Selatan I Blok PP-, 2C, Cikarang,, 150, 2, , , R A H A S I A, , , R A H A S I A, 188, , 1, 2, 3, 4, 5, 871, PT. HAENG SUNG RAYA, INDONESIA, Jl. Sumbawa Blok F1-2, Bekasi, Fajar Industrial Estate, Desa, Gandamekar, Kec. Cikarang, Barat, 200, 2, 872, PT. DAE BAEK, Kawasan Industri Delta Silicon, III, ~Jl. Soka Plot F 17, ~No. 10,, Lippo Cikarang, ~Desa Cicau,, Kecamatan Cikarang Pusat,, ~Bekasi 17550, 100",Jababeka
PT.,"SMT, SOLUTION, INDONESIA, Kawasan Industri Jababeka,~Jl., Jababeka IXC Blok P No. 5Q,, ~Desa Wangun Harja, Cikarang, Utara, 100",Jababeka
PT. MIRAE INDONESIA,"Delta Silicon III Industrial Park,~, Jl. Pinang Blok F 16 No. 23,, Desa Cicau, Kec. Cikarang, Pusat, Bekasi, 200",Delta Silicon
PT. MIRAE INDONESIA,"Delta Silicon III Industrial Park,~, Jl. Pinang Blok F 16 No. 23,, Desa Cicau, Kec. Cikarang, Pusat, Bekasi, 100",Delta Silicon
PT. JAEIL INDONESIA,"Kawasan Industri Jababeka II,, Jl Industri Utama Blok RR 2A,~, Desa, Pasirsari,, Kecamatan, Cikarang Selatan",Jababeka
PT. LOTRON INDONESIA,"Kawasan Industri Delta Silicon, III Industri Park Lippo Cikarang,, Jl. Kapuk, Blok F 20 No.11A,, Desa Cicau, Kec. Cikarang, Pusat, 300, 5, 878, PT. SINSUNG, Kawasan Industri Jababeka II,, Jl. Industri Selatan 8 Blok EE, No.6M,, Pasisir,, Cikarang, Selatan, Bekasi, 100, -, 879, PT. SINU KAYU PRIMA, Jl. Kampung Pagaulan No. 3, Desa Sukaresmi, 100, 1, 880, PT. FORMINA PRESS INDO, Wisma PEDE Lt. 1, Jl. MT., Haryono Kav. 17 RT. 010/RW., 05, Kelurahan Tebet Barat,, 100, 1, 881",Jababeka
PT. SI TECH INDONESIA,"Jl. Industri Utama I Blok RR, 5.J,~Kawasan, Industri, Jababeka,, Desa, Pasirsari,~Kec.",Jababeka
PT. KEUM SU TECH,"Jl. Jababeka XI A Blok K, No.7D,~, Kawasan, Industri, Jababeka I, Desa Harjamekar,, Kec. Cikarang Utara",Jababeka
PT. A & K SOLUTION,"Kawasan Industri Jababeka I, Blok C No. 19 I - J Pasir, Gombong, Cikarang Utara, 100, -, 884, PT., TAE, KYUNG, JAYA, INDONESIA, Kawasan Industri Jababeka Jl., Jababeka IX B Blok P 10 H,, Cikarang, 100, -, 885, PT. DONG SON INDUSTRY, Jl. Raya Serang KM. 14.5,, Komp Griya Mentari, Kelurahan, Talagasari, Kecamatan Cikupa,, Tangerang, Banten, 400, 2, , , R A H A S I A, , , R A H A S I A, 189, , 1, 2, 3, 4, 5, 886, PT., MYOUNG, MOON, INDONESIA, Kawasan Delta Silicon II,~ Jl., Kranji, Plot, F-12-7,, Desa",Jababeka
PT.,"NARA, SUMMIT, INDUSTRY, Kawasan Industri Delta Silicon,, Jln. Meranti 3 Blok L 10-2,, Cikarang Selatan, 100, 1, 888, PT. KEO SAN INDONESIA, Jl. Industri Selatan V, Blok EE 5, C, Standard Faktory Building, (SFB),, Kawasan, Industri, Jababeka II, Cikarang Selatan, 200, -, 889, PT. ILJIN INDONESIA, Jl. Raya Pasar Setu, Rt. 05,, Rw. 02, Gg. Aladin, No. 10,, Tamansari, Setu,, 100, 2, 890, PT., DONGEN, CHEMICAL, INDONESIA, Delta Silicon I Industrial Park,, Lippo Cikarang JL. Angsana, Raya Blok L 7 No.1, Bekasi, 17550, 100, 4, 891, PT., HIT, ELECTRO, MECHANICS INDONESIA, Kawasan Industri Delta Silicon, Lippo Cikarang,Jl. Kruing 2,, Blok. L9 No. 10, Ds. Sukaresmi,, Kec. Cikarang Selatan, 100, 2, 892, PT., SURYA, MULTINDO, INDUSTRI, Kawasan Industri Jababeka, Jl., Jababeka IV, Block C2-A,B,C,, Cikarang, Bekasi 17550, 200, 1, 893, PT. SINSUNG TECH, Kawasan Industri Jababeka,~Jl., Jababeka VIII-A SFB, ~Blok B, 11, E,, Desa",Jababeka
PT. HYUK JIN INDONESIA,"Kawasan Industri Delta Silicon, III Lippo Cikarang, Jl. Cendana, Raya Blok F.9 No. 2 n 3, Desa, Cicau Cikarang Pusat, 100, 3, 895, PT. KOCHEM INDONESIA, Kawasan, Jababeka, Tahap, I,~Jl. Jababeka II H Blok CC, No. 17,~Desa Pasirgombong,, Kec. Cikarang Utara, 100, -",Jababeka
PT. DAE YOUNG INDONESIA,"Kawasan Industri Jababeka,Jl., Jababeka Blok K2L, Desa, Harjamekar,Kec., Cikarang, Utara, , , 897, PT. BOKWANG INDONESIA, Kawasan Batik Lippo Cikarang, Jl. Palem 1 Blok DS-6, , , 898, PT. MIRIO INDONESIA, Bekasi International Industrial, Estate (BIIE), Jl. Inti Raya I Blok, C 1 No. 9, Lippo Cikarang,, Bekasi 17550, 200, 3, 899, PT., GLOBAL, CHEM, INTERNATIONAL, Kawasan Industri MM 2100, Jl., Selayar I Blok H10-1, Mekar, Wangi, Cikarang Barat, 100, 5, 900, PT. GAYA STEEL, Jl. Samsung I Blok B10, UKM, Center, Segitiga Emas, Desa, Mekarmukti,, Kecamatan, Cikarang Utara, Bekasi, , , 901, PT. YU PRO INDONESIA, Kawasan Industri Jababeka,, ~Jl. Jababeka IV E Blok V 78, G, ~Desa Pasirgombong, Kec., Cikarang Utara, 100, 2",Jababeka
PT. KOSTEC INDONESIA,"Kawasan, Jababeka, I,, Jl., Jababeka IX Blok K No.4D,, Cikarang, , , 903, PT., LG, ELECTRONICS, INDONESIA, Gandaria 8 Office Tower Lantai, 29 BC &amp; 31 ABCD,~Jl., Sultan Iskandar Muda, Kel. Keb, Lama Utara,~Kec. Keb Lama",Jababeka
PT.,"DONGAN, KREASI, INDONESIA, Kawasan Industri Hyundai Kav., C 3 No. 12~Lippo Cikarang,, ~Desa Cibatu, Kec. Cikarang, Selatan~Bekasi 17550, 100, 2",Bekasi
PT. SHOW LASER,"Kawasan Industri Jababeka I,, Jl. Jababeka XIV SFB Blok J-, 12E, Cikarang, Bekasi, 200, 1, 906, PT. COOLING AUTOMOTIVE, INDONESIA, Kawasan Industri Jababeka II,, Jl. Industri Utama I, Blok RR-3J,, Cikarang, Bekasi, 100, -, 907, PT. SC INDONESIA, Kp. Tenjo Ayu RT.03/01, Desa, Tenjo Ayu, Kec. Cicurug, 100, 3, 908",Jababeka
PT. IS GLOBAL,"Jl. Raya Cibitung Km. 48,~Desa, Telaga Murni, Cikarang Barat, 100, -, 909",Cikarang Barat
PT. AMK HOLDING,"Kawasan, Industri, Jababeka, Tahap I Blok C No.9 I & J, Cikarang,, Pasir, Gombong,, Cikarang Utara, 200, 3, 910, PT., SAMSUNG, ELECTRONICS INDONESIA, Kawasan, Cikarang,, Jl., Jababeka Raya Blok F 29 - 33,, Desa, Harjamekar,, Kec., Cikarang Utara, 100, 2, 911, PT. YEONHO INDONESIA, Kawasan Industri Jababeka, Jl., Industri Selatan 3.A, SFB, GG., 3-C,, Desa, Pasirsari,, Kec., Cikarang Selatan, 200, 3, 912, PT. SUNG TECHNOLOGY, Jl. Akasia Raya No. 49A, Kawasan Industri Delta Silicon,, Bekasi, 200, 2, 913, PT., SAEAM, DAYA, INDONESIA, Kawasan, Industri, Jababeka, Tahap II TOB Blok NN 3F, Jl., Industri Selatan I Cikarang, 200, 3, 914, PT. KORIND JAYA ABADI, Kawasan Industri Jababeka-, Cikarang Jl. Industri Selatan 11, Blok EE 11 C, 300, 4, 915, PT., YEONG, SHIN, INDONESIA, Kawasan Industri MM2100 Blok, G,  Cibitung,, 200, 2, 916, PT. SELIM JAYA INDONESIA, Kawasan, Jababeka,, Jl., Jababeka IV E Blok V-78F,, Pasir Gembong, Cikarang, 200, 3, 917, PT., NOBLE, CHEM, INDONESIA, Jl. Jababeka IIE, TOB Blok C, 16 H, Kawasan Jababeka I,, Desa Pasir Gombong, Cikarang, 200, 3, 918, PT. ART MOLD INDONESIA, Cikarang Industrial Estate, Jl., Industri, Blok. LL No. 4/5, Desa, Pasir, Sari,, Kec., Cikarang",Jababeka
PT. SUNGSAN GLOBAL,"Jl. Kebon Kelapa No. 5, RT., 003/RW. 003,~~Kel. Tambun, Selatan, Kec. Tambun, 200, 2",Tambun
PT.,"OH, SUNG, ELECTRONICS INDONESIA, Kawasan Industri MM2100,~ Jl., Selayar, Blok, D7, Desa",MM2100
PT. WOO IN,"Kawasan, Industri, MM2100,, Blok MM3-1, Cikarang Barat, 200, -, 923, PT., CHEIL, ABRASIVE, INDONESIA, Jl. Inti III Blok C-6 No.12A,, Kawasan Industri BIIE, Lippo, Cikarang Jawa Barat 17550, 300, 3, 924, PT., JEONG, MOON, INFORMATION INDONESIA, Kawasan, Industri, Jababeka, Tahap II Jalan Industri Selatan, 5 Blok EE-3K, 200, 3, 925, PT. TAE WON INDONESIA, Kawasan Industri Jababeka II, Cikarang, Jl. Raya Industri, Selatan I Blok LL-6, Bekasi, 17550, 300, 4, 926, PT., IHWA, TEXTILE, INDONESIA, Kawasan Batik Mekar Wangi, Kav. 201, Jl. Raya Setu-Rawa, Banteng, Bekasi, 100, -, 927, PT., SMT, SOLUTION, INDONESIA, Kwsn Jababeka Jl. Jababeka, IXC Blok P No. 5Q, ~Desa, Wangun Harja, Cikarang Utara, 100, -, 928",Jababeka
PT. BO MYUNG INDONESIA,"Jl. Soka Blok F20-08D, Delta, Silicon 3 Industrial Park, Desa, Cicau, Kec Cikarang Pusat,, 100, 2, 929, PT. USAHA ABADI, Kawasan Industri Jababeka, Jl., Halmahera, Blok, DD-8,, Cikarang Barat Bekasi 17550, 200, 2, 930, PT. YUTU LEPORTS JAYA, Jl. Raya Setu Kompleks Batik, Mekarwangi Kav. 2,, 200, 4, 931, PT., TAEKYUNG, TECHNOLOGY, Kawasan Industri Jababeka,, ~Jl. Jababeka XVII H Blok U, No. 21 E, ~Cikarang Utara,, Desa, Karangbaru,~Kec., Cikarang Utara,",Jababeka
PT. TAE HANG INDONESIA,"Bekasi International Industrial, Estate. Jl. Inti Raya I Blok C1, No., 9-11., Desa, Cibatu,, Kecamatan Cikarang Selatan, 200, 4, 933, PT., SAMSUNG, ELECTRONICS INDONESIA, Kawasan, Industri, Jababeka, Cikarang, Jl. Jababeka Raya, Blok, F, 29, -, 33,, Desa, Harjamekar,, Kec., Cikarang, Utara, 100, -, 934, PT. CHUNNIL TRADING, Jl. Gunung Batur No.7/9 Lippo, Cikarang Bekasi, Jawa Barat, 100, -, 935",Jababeka
PT. HAN YANG ROBOTICS,"INDONESIA, Jl. Industri Utara IV No. 40,, Pavillion Shop, Mekarmukti,, Cikarang Baru, Bekasi, Jawa, Barat, 300, 3, , , R A H A S I A, , , R A H A S I A, 192, , 1, 2, 3, 4, 5, 937, PT., ELECTRON, PARTS, TECHNOLOGY INDONESIA, Kawasan Industri Jababeka II,, ~Jl. Industri Selatan Blok HH, No. 5, 100, 2, 938",Jababeka
PT. TOP ABADI,"Bekasi International Industrial, Estate (BIIE) Blok C2 No.1A,, Desa Sukaresmi, Kecamatan, Cikarang Selatan, Bekasi, 300, 1, 939, PT., JUNG, ANGSA, INDONESIA, Jl. Raya Serang Baru KM.3,, Pasirandu Serang Baru, 200, 4, 940, PT. SIGMA UTAMA JAYA, INDONESIA, Kawasan Industri Jababeka I,, Jl. Jababeka Raya No. 1 Blok, R-2 L, 300, -, 941, PT. WE TECH, Kawasan Industri Jababeka, Jl., Jababeka II G Blok C 16 AC,, Bekasi 17530, 200, 3, 942, PT., KAHOINDAH, CITRAGARMENT, Kawasan Berikat Nusantara, Jl., Bali Blok D-16, Cilincing, 300, 3, 943, PT. KEINTECH, Kawasan Industri Jababeka Jl., Jababeka XIV Blok J-12-E,, Cikarang, 200, 2, 944, PT., DAEHWA, LEATHER, LESTARI, Bekasi International Industrial, Estate, 100, -, 945, PT., HWANG, SO, ENGINEERING, Kawasan Industri Jababeka II,, ~Jl. Industri Utama I Blok RR, No. 5G,~Pasirsari, Cikarang, Selatan, Bekasi, 200, -",Jababeka
PT. FEELUX INDONESIA,"Jl., Jababeka, Raya, F.34, Cikarang Industrial Estate Kec., CIkarang Utara Kel. Harjamekar, 800, 9, 947, PT. KNT INDONESIA, Bekasi International Industrial, Estate Blok C7 No. 12-12A,, Desa Cibatu, Kec. Cikarang, Selatan, 200, 1, 948, PT. GLOBAL WIJAYA TOOL, NEW, TOB, BLOK, B, 2B, Kawasan, Industri, Jababeka, Tahap, III, Pasir, Gombong, Cikarang Utara Bekasi JAwa, Barat, 200, -, 949, PT. AFPRO NICE INDONESIA, Jl. Jababeka II H Blok CC 8-9,, Kawasan, Industri, Cikarang, Jababeka I, RT. 05/04, Desa, Pasirgombong, Kec. Cikarang, Utara, 100, -",Jababeka
PT. YUTU LEPORTS JAYA,"Jl. Raya Setu Kompleks Batik, Mekarwangi Kav. 2,, 100, -, 951, PT., SHIN, HEUNG, INDONESIA, Jl. Tekno Raya Blok  A 5 A,, Kawasan Industri Jababeka III, Cikarang, Desa Pasirgombong,, Kec. Cikarang Utara, Kab., Bekasi 17530, 100, -, 952, PT., HANYOUNG, ELECTRONIC INDONESIA, Jl. Cempaka Blok F 16, No. 2,, Delta Silicon II Industrial Park,, Lippo Cikarang, Bekasi, 200, 2, 953, PT. DAE HWA INDONESIA, Kawasan, Industri, Jababeka, Cikarang,~Jl. Industri Utara 4, Blok SS 6B, RT. 001/RW., 005,~Desa Mekarmukti, Kec., Cikarang Utara, 100",Jababeka
PT. SI TECH INDONESIA,"Jl. Industri Utama I Blok RR 5.J,, Kawasan Industri Jababeka,, Desa Pasirsari,~Kec. Cikarang, Selatan, 200, -, 955",Jababeka
PT. KEPSONIC INDONESIA,"Bekasi International Industrial, Estate,~Blok C2 No. 1-14, Kec., Cikarang Selatan., 200, 2, 956",Cikarang Selatan
PT. DAE YOUNG INDONESIA,"Kwsn Jababeka, Jl. Jababeka, Blok, K2L,, Desa, Harjamekar,Kec., Cikarang, Utara, 200, -, 957, PT. MNS INDONESIA, Jl. Samsung I Blok B No. 9A,, Kawasan Segitiga Mas Desa, Mekarmukti,, Kec., Cikarang, Utara, Bekasi, 100, 2, 958, PT. KEPSONIC INDONESIA, Bekasi International Industrial, Estate,~Blok C2 No. 1-14, Kec., Cikarang Selatan., 100, 1, 959",Jababeka
PT.,"PYOJOON, MOLD, INDONESIA, Kawasan Industri Jababeka II,, Blok RR 10A, Cikarang Selatan, 200, 2, 960, PT. SUNG WOO PLATECH, Kawasan Indsutri Jababeka,~Jl., Jababeka XIV Blok J 11, G,~Cikarang Utara, Bekasi, 100, 2",Jababeka
PT.,"MORNING, DEW, INDONESIA, Jl. Raya Hankam No. 20, RT.009/RW.03, Kel. Setu, Kec., Cipayung, Jakarta Timur, 200, 2, 962",Lainnya
PT.,"SAMSUNG, ELECTRONICS INDONESIA, Kawasan Jababeka Cikarang,, Jl. Jababeka Raya Blok F 29 -, 33, Desa Harjamekar, Kec., Cikarang Utara, 300, 2, 963, PT., SHIN, HWA, ENGINEERING, Jl. Jababeka XVI Blok V-69-1,, Kawasan Jababeka I, Cikarang,, 200, , 964, PT. DAWEE ELECTRONIC, INDONESIA, Jl., Jababeka, XVI, Blok, U3C,~Kawasan, Industri, Jababeka, ~Cikarang, Bekasi, 200, 2",Jababeka
PT.,"SHIN, YONG, ELECTRONIC, Kawasan Industri Jababeka I,, Jl. Jababeka VIIIA, SFB, Blok, B11K, Cikarang, Bekasi, 100, -, 966, PT. SKETCH ELECTRONICS, Jl. Serang Baru KM.3, Pasir, Randu,, RT.11/RW.06,, Sukasari, Serang Baru, 200, 1, 967",Jababeka
PT.,"KWANG, SUNG, ELECTRONICS, Jl. Akasia I Blok AE No.29,, Delta Silicon Industrial Park,, Lippo, Cikarang,, Sukaresmi,, Cikarang Selatan, Bekasi, 100, -, 968, PT., SUNGLIM, ELECTRONICS INDONESIA, Kawasan Industri MM2100,~Jkl., Timor Blok C7-11, 200, 1, 969",MM2100
PT.,"LG, ELECTRONICS, INDONESIA, Gandaria 8 Office Tower Lantai, 29 BC &amp; 31 ABCD,~Jl., Sultan Iskandar Muda, Kel., Kebayoran Lama Utara,~Kec., Kebayoran Lama, 300",Lainnya
PT.,"TEMPESTA, INTERNATIONAL, Kawasan, Delta, Silicon,~Jl., Meranti, II, Blok, L.3",Lainnya
PT. ARVICO ELECTRONICS,"INDONESIA, Kawasan, Jababeka, I, Jl., Jababeka XIV, SFB Blok J 12F,, Pasir, Gembong., Cikarang, Utara. Bekasi, 300, 6, 973, PT. ARVICO ELECTRONICS, INDONESIA, Kawasan Industri Jababeka I Jl., Jababeka XIV, SFB Blok J 12F,, Pasir, Gembong., Cikarang, Utara. Bekasi, 200, -, 974, PT., GLOBAL, TOTAL, PLASTICS INDUSTRY, Jl. Timor Blok C-7 No. 11,, Kawasan, Industri, MM2100., Desa, Mekarwangi,, Kec., Cikarang Barat, Bekasi, 100, -, 975, PT., SAM, YOUNG, ELECTRONIC INDONESIA, Kawasan Industri Jababeka II~, Jl. Industri Selatan I Blok OO, No. IC~ Desa Pasir Sari~, Kecamatan Cikarang Selatan",Jababeka
PT. ESTERINDO TRI CHEM,"Jl. Raya Narogong, Pangkalan, 2Kampung, Cikiwul,, RT.002/RW.001,Bantar, Gebang, Bekasi, 100, 5, 977",Bekasi
PT. ESTERINDO TRI CHEM,"Jl. Raya Narogong, Pangkalan, 2Kampung, Cikiwul,, RT.002/RW.001,Bantar, Gebang, Bekasi, , , 978",Bekasi
PT.,"DAE, IN, TECH, INDONESIA, Kawasan Industri MM 2100, Blok NN-6, Desa Jatiwangi,, Cikarang Barat, 100, 2, 979, PT. MEGA ILWON, Resto, Plaza,, Jl., Kihajar, Dewantara 2.B/2.C Simpangan,, Kec. Cikarang Utara, Kab., Bekasi, 100, 3",MM2100
PT. NEOHYOLIM PLATECH,"INDONESIA, d/a. Kawasan Industri MM, 2100, Jl. Sumba Blok B.12,, Cikarang Barat, Bekasi 17842, 200, 1",Cikarang Barat
PT. NUX INDONESIA,"Kawasan industri Delta Silicon, III, Jl. Pinang Blok F 16 No. 02,, Desa Cicau, Kec. Cikarang, Pusat, 300, 3, 982, PT. SAISEIKO INDONESIA, Jl. Sriwijaya Raya Blok A No., 10,, Lippo, Cikarang,, Desa, Cibatu, Kecamatan Cikarang, Selatan, Kabupaten Bekasi, 150, 2, 983, PT. ANYTAPE INDONESIA, Rukan Robson Blok B No. 15,, Lippo Cikarang, Desa Cibatu,, Kec., Cikarang, Selatan,, Kabupaten, Bekasi,, Provinsi, Jawa Barat, 200, 2, 984, PT. GREENBE, Kawasan, Industri, Lippo, Cikarang, Jl. Kruing II No. 1919,, Multi Guna Niaga III, Lippo, Cikarang, Bekasi 17550, 100, 2, 985, PT. MULIARAYA INTERNUSA, Kp. Teleng RT.002/RW.003,, Desa, Karang, Baru,, Kec.",Delta Silicon
